,loss,accuracy,val_loss,val_accuracy
0,5.39341926574707,0.006174956914037466,5.022049427032471,0.0010537407360970974
1,4.9170308113098145,0.012521441094577312,4.93902587890625,0.018967334181070328
2,4.553165435791016,0.024699827656149864,4.52918815612793,0.037934668362140656
3,4.294666767120361,0.04819897189736366,4.260866165161133,0.05374078080058098
4,4.057811737060547,0.06329330801963806,4.187238693237305,0.06533192843198776
5,3.831136703491211,0.09073756635189056,3.887333869934082,0.0937829315662384
6,3.6686012744903564,0.12298456579446793,3.542691469192505,0.1538461595773697
7,3.505559206008911,0.1507718712091446,3.3999955654144287,0.16859851777553558
8,3.368678331375122,0.17753002047538757,3.177060127258301,0.21917808055877686
9,3.1865715980529785,0.20994853973388672,3.14107608795166,0.22760801017284393
10,3.0205233097076416,0.23704974353313446,2.9717819690704346,0.2602739632129669
11,2.888913154602051,0.2665523290634155,2.8711752891540527,0.2834562659263611
12,2.7560529708862305,0.2924528419971466,2.761601209640503,0.2929399311542511
13,2.595594644546509,0.3192109763622284,2.5593345165252686,0.36143308877944946
14,2.4549691677093506,0.3543739318847656,2.542894124984741,0.34562698006629944
15,2.3270325660705566,0.3814751207828522,2.3394627571105957,0.3740779757499695
16,2.2656593322753906,0.40034306049346924,2.307208299636841,0.3983140289783478
17,2.1202311515808105,0.42778730392456055,2.1695971488952637,0.43940991163253784
18,2.07705020904541,0.4444253742694855,2.2041313648223877,0.46364593505859375
19,2.011396884918213,0.45351630449295044,2.1586720943450928,0.46364593505859375
20,1.9801759719848633,0.4627787172794342,2.0968432426452637,0.46996837854385376
21,1.8788999319076538,0.4840480387210846,1.980090856552124,0.5079030394554138
22,1.789291501045227,0.5097770094871521,2.108738660812378,0.465753436088562
23,1.807093858718872,0.5020583271980286,1.9793987274169922,0.4952581524848938
24,1.7161610126495361,0.5271012187004089,2.009098529815674,0.4952581524848938
25,1.6646703481674194,0.5433962345123291,1.9864856004714966,0.5057955980300903
26,1.6632732152938843,0.5379073619842529,2.3132948875427246,0.4415173828601837
